Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /terms/?skip=40&limit=5,47,0,8,9.392800489363657,4.633291999994071,22.665250000002857,864.5106382978723,0.1569735242957119,0.0,8,10,11,12,14,14,23,23,23,23,23
GET,GET /terms/?skip=40&limit=50,46,0,10,11.629387630432289,2.929916999988791,31.08899999998016,8150.630434782609,0.1536336620766542,0.0,10,11,13,13,19,28,31,31,31,31,31
GET,GET /terms/?skip=50&limit=10,32,0,9,9.474220062495874,2.873082999997223,31.51020800000026,1791.375,0.1068755910098464,0.0,9,10,10,11,12,27,32,32,32,32,32
GET,GET /terms/?skip=50&limit=100,43,0,11,12.983429209304399,4.865625000000762,47.87487499999088,13182.116279069767,0.1436140754194811,0.0,11,12,13,14,17,25,48,48,48,48,48
GET,GET /terms/?skip=50&limit=20,46,0,8,9.088426695648954,2.1400840000183052,20.5113749999839,3188.913043478261,0.1536336620766542,0.0,8,10,11,11,14,17,21,21,21,21,21
GET,GET /terms/?skip=50&limit=5,56,0,9,9.591189035715955,2.8148330000021815,32.80474999999683,817.2857142857143,0.1870322842672312,0.0,9,9,10,11,14,19,21,33,33,33,33
GET,GET /terms/?skip=50&limit=50,41,0,10,11.037384243902437,2.647792000004756,29.917291999993267,8198.292682926829,0.1369343509813657,0.0,10,11,11,12,16,21,30,30,30,30,30
GET,GET /terms/[key],1070,1070,9,9.56201299345822,2.4825409999778003,52.10308300001998,27.0,3.5736525743917387,3.5736525743917387,9,10,10,11,13,17,27,38,50,52,52
POST,POST /terms/,810,529,11,11.949681846913515,2.3663340000013022,65.57145799999375,82.16172839506173,2.7052883974367368,1.7667871138815232,11,13,14,15,18,22,30,40,66,66,66
PUT,PUT /terms/[key],197,197,9,9.717800532994987,2.829374999976153,37.243209000010324,27.0,0.6579528571543669,0.6579528571543669,9,10,11,11,13,15,32,37,37,37,37
,Aggregated,4279,1829,9,9.57481453073132,1.4320829999974194,65.57145799999375,1835.3152605749008,14.291270435347897,6.108607998656533,9,10,11,12,14,18,27,35,52,66,66
