Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768641242,200,,Aggregated,54.300000,20.300000,6,8,9,10,11,13,16,17,36,36,36,779,300,6,7.004699082156593,1.6126670000016219,35.99258399999883,2717.209242618742
1768641243,200,,Aggregated,57.400000,22.200000,6,8,9,10,11,13,16,17,36,36,36,828,324,6,7.00163023792269,1.6126670000016219,35.99258399999883,2639.3599033816427
1768641244,200,,Aggregated,59.000000,23.100000,6,8,9,10,11,13,15,17,36,36,36,893,352,6,6.942133027995513,1.6126670000016219,35.99258399999883,2556.384098544233
1768641245,200,,Aggregated,59.300000,23.500000,6,8,9,10,11,13,15,16,36,36,36,951,379,6,6.891267398527864,1.6126670000016219,35.99258399999883,2447.9284963196637
1768641246,200,,Aggregated,58.800000,23.700000,6,8,9,9,11,13,15,16,23,36,36,1004,400,6,6.8472963605577695,1.6126670000016219,35.99258399999883,2416.3675298804783
1768641247,200,,Aggregated,58.900000,24.300000,6,8,9,9,11,13,15,16,29,36,36,1064,428,6,6.795075035714276,1.6126670000016219,35.99258399999883,2350.1165413533836
1768641248,200,,Aggregated,57.800000,24.200000,6,8,9,9,11,13,15,16,29,36,36,1127,458,6,6.725601047027507,1.1689170000011018,35.99258399999883,2311.5909494232474
1768641249,200,,Aggregated,57.700000,24.900000,6,7,9,9,11,13,15,16,29,36,36,1178,476,6,6.697878823429542,1.1689170000011018,35.99258399999883,2277.3005093378606
1768641250,200,,Aggregated,58.900000,25.500000,6,8,9,9,11,13,15,16,29,36,36,1238,498,6,6.725319268174469,1.1689170000011018,35.99258399999883,2291.7770597738286
1768641251,200,,Aggregated,58.600000,25.400000,6,8,9,9,11,13,16,18,29,36,36,1293,523,6,6.833523208816686,1.1689170000011018,35.99258399999883,2291.725444702243
1768641252,200,,Aggregated,57.900000,25.400000,6,8,9,10,11,13,16,18,29,36,36,1359,550,6,6.95313049595291,1.1689170000011018,35.99258399999883,2281.241353936718
1768641253,200,,Aggregated,57.200000,24.900000,6,8,9,10,12,14,16,18,29,36,36,1410,568,6,7.090068593617031,1.1689170000011018,35.99258399999883,2265.5914893617023
1768641254,200,,Aggregated,57.900000,25.200000,6,8,9,10,12,14,17,18,29,36,36,1472,595,6,7.179053165081531,1.1689170000011018,35.99258399999883,2299.4864130434785
1768641255,200,,Aggregated,58.200000,24.500000,7,8,9,10,12,14,17,18,29,36,36,1523,616,7,7.241157371634939,1.1689170000011018,35.99258399999883,2278.3420879842415
1768641256,200,,Aggregated,57.600000,24.200000,7,8,9,10,12,14,17,20,29,36,36,1593,645,7,7.379158144381681,1.1689170000011018,35.99258399999883,2255.4325172630256
1768641257,200,,Aggregated,57.100000,23.600000,7,9,10,10,12,15,18,21,29,36,36,1641,664,7,7.509223927483247,1.1689170000011018,35.99258399999883,2236.892138939671
1768641258,200,,Aggregated,58.300000,24.400000,7,9,10,10,12,15,18,21,29,36,36,1692,687,7,7.541482319148939,1.1689170000011018,35.99258399999883,2221.340425531915
1768641259,200,,Aggregated,58.200000,23.900000,7,9,10,10,13,15,18,21,29,36,36,1764,716,7,7.592278296485264,1.1689170000011018,35.99258399999883,2166.5221088435374
1768641260,200,,Aggregated,56.300000,23.000000,7,9,10,10,12,15,18,21,29,36,36,1817,739,7,7.623671641717124,1.1689170000011018,35.99258399999883,2157.458447991194
